srcip,dstip,srcport,dstport,proto,td,pkt,byt,label
3232291856.0,3232261126.0,37201.0,80.0,TCP,0.003,5.0,479.0,1
3232291843.0,3232292095.0,137.0,137.0,UDP,0.0,1.0,92.0,0
3232291844.0,3232261125.0,43145.0,445.0,TCP,0.004,2.0,174.0,0
3232261125.0,3232291852.0,445.0,49511.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291845.0,445.0,51146.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291850.0,445.0,40239.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291852.0,445.0,49511.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291847.0,445.0,37191.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,37139.0,80.0,TCP,0.004,5.0,479.0,1
3232291850.0,3232261125.0,40239.0,445.0,TCP,0.004,2.0,174.0,0
3232291856.0,3232286728.0,51358.0,1090.0,TCP,0.0,1.0,58.0,1
3232291844.0,3232261125.0,43145.0,445.0,TCP,0.001,2.0,174.0,0
3232261125.0,3232291851.0,445.0,34743.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,35705.0,80.0,TCP,0.003,5.0,479.0,1
3232291855.0,3232292095.0,138.0,138.0,UDP,0.0,1.0,262.0,0
3232261125.0,3232291847.0,445.0,37191.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291848.0,445.0,49094.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,57919.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232286725.0,51460.0,25.0,TCP,0.0,1.0,58.0,1
3232291856.0,3232261126.0,58564.0,80.0,TCP,0.004,5.0,479.0,1
3232261125.0,3232291845.0,445.0,51146.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,58310.0,80.0,TCP,0.003,5.0,479.0,1
3232291856.0,3232261126.0,56713.0,80.0,TCP,0.003,5.0,479.0,1
3232291856.0,3232286721.0,51357.0,32778.0,TCP,0.0,1.0,58.0,1
3232291853.0,3232261125.0,60689.0,445.0,TCP,0.003,2.0,174.0,0
3232291856.0,3232261126.0,58875.0,80.0,TCP,0.005,6.0,545.0,1
3232291856.0,3232261126.0,57848.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261125.0,58844.0,445.0,TCP,0.003,2.0,174.0,0
3232261124.0,3232289285.0,587.0,512.0,TCP,0.084,2.0,108.0,0
3232291846.0,3232261125.0,46709.0,445.0,TCP,0.0,2.0,174.0,0
3232291854.0,3232261125.0,52321.0,445.0,TCP,0.003,2.0,174.0,0
3232291846.0,3232261125.0,46709.0,445.0,TCP,0.003,2.0,174.0,0
3232291846.0,3232261125.0,46709.0,445.0,TCP,0.0,1.0,66.0,0
3232261125.0,3232291846.0,445.0,46709.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,56690.0,80.0,TCP,0.002,5.0,479.0,1
3232261125.0,3232291855.0,445.0,48888.0,TCP,0.0,1.0,70.0,0
3232291856.0,3232261126.0,59307.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,58523.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,58867.0,80.0,TCP,0.005,5.0,479.0,1
3232291856.0,3232261126.0,59100.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,56976.0,80.0,TCP,0.004,5.0,479.0,1
3232261125.0,3232291847.0,445.0,37191.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,35442.0,80.0,TCP,0.005,5.0,479.0,1
3232261125.0,3232291850.0,445.0,40239.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291849.0,445.0,37884.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232286724.0,445.0,43183.0,TCP,0.0,1.0,108.0,0
3232291844.0,3232292095.0,138.0,138.0,UDP,0.0,1.0,262.0,0
3232291854.0,3232261125.0,52321.0,445.0,TCP,0.005,2.0,174.0,0
3232291856.0,3232261126.0,58446.0,80.0,TCP,0.006,5.0,479.0,1
3232261125.0,3232291845.0,445.0,51146.0,TCP,0.0,1.0,108.0,0
3232291853.0,3232261125.0,60689.0,445.0,TCP,0.004,2.0,174.0,0
3232291856.0,3232261125.0,58844.0,445.0,TCP,0.0,1.0,66.0,0
3232291845.0,3232292095.0,138.0,138.0,UDP,0.0,1.0,262.0,0
3232261125.0,3232291856.0,445.0,58844.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,58968.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,35268.0,80.0,TCP,0.004,6.0,545.0,1
3232291855.0,3232261125.0,48888.0,445.0,TCP,0.004,2.0,174.0,0
3232291856.0,3232286729.0,51357.0,1096.0,TCP,0.0,1.0,58.0,1
3232291845.0,3232261125.0,51146.0,445.0,TCP,0.004,2.0,174.0,0
3232291851.0,3232261125.0,34743.0,445.0,TCP,0.003,2.0,174.0,0
3232261125.0,3232291845.0,445.0,51146.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291847.0,445.0,37191.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291848.0,445.0,49094.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232261125.0,445.0,51146.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232286725.0,51357.0,1461.0,TCP,0.0,1.0,58.0,1
3232291856.0,3232261126.0,59071.0,80.0,TCP,0.006,5.0,479.0,1
3232291856.0,3232261126.0,56953.0,80.0,TCP,0.004,6.0,545.0,1
3232291855.0,3232261125.0,48888.0,445.0,TCP,0.001,2.0,174.0,0
3232291856.0,3232261126.0,55310.0,80.0,TCP,0.005,5.0,479.0,1
3232291851.0,3232292095.0,138.0,138.0,UDP,0.0,1.0,262.0,0
3232286724.0,3232261125.0,43183.0,445.0,TCP,0.003,2.0,174.0,0
3232291856.0,3232261126.0,59013.0,80.0,TCP,0.003,6.0,545.0,1
3232291856.0,3232261126.0,57392.0,80.0,TCP,0.005,5.0,479.0,1
3232291856.0,3232261126.0,57873.0,80.0,TCP,0.005,5.0,479.0,1
3232261125.0,3232291854.0,445.0,52321.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,34607.0,80.0,TCP,0.004,5.0,479.0,1
3232291850.0,3232261125.0,40239.0,445.0,TCP,0.003,2.0,174.0,0
3232261125.0,3232286724.0,445.0,43183.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291849.0,445.0,37884.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,33241.0,80.0,TCP,0.004,5.0,479.0,1
3232261125.0,3232291849.0,445.0,37884.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,35254.0,80.0,TCP,0.003,5.0,479.0,1
3232261125.0,3232286724.0,445.0,43183.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291846.0,445.0,46709.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,57570.0,80.0,TCP,0.003,5.0,479.0,1
3232261125.0,3232291855.0,445.0,48888.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,55458.0,80.0,TCP,0.003,5.0,479.0,1
3232261125.0,3232286724.0,445.0,43183.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,59964.0,80.0,TCP,0.003,5.0,479.0,1
3232291852.0,3232292095.0,137.0,137.0,UDP,0.0,1.0,92.0,0
3232261125.0,3232291844.0,445.0,43145.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291846.0,445.0,46709.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,57792.0,80.0,TCP,0.004,5.0,479.0,1
3232291846.0,3232261125.0,46709.0,445.0,TCP,0.003,2.0,174.0,0
3232291852.0,3232261125.0,49511.0,445.0,TCP,0.003,2.0,174.0,0
3232291856.0,3232261126.0,59704.0,80.0,TCP,0.002,6.0,545.0,1
3232261125.0,3232291845.0,445.0,51146.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,33502.0,80.0,TCP,0.002,5.0,479.0,1
3232261125.0,3232291847.0,445.0,37191.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291845.0,445.0,51146.0,TCP,0.0,1.0,108.0,0
3232291845.0,3232292095.0,137.0,137.0,UDP,0.0,1.0,92.0,0
3232261125.0,3232291854.0,445.0,52321.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,58404.0,80.0,TCP,0.002,6.0,545.0,1
3232291856.0,3232286728.0,51357.0,5999.0,TCP,0.0,1.0,58.0,1
3232261125.0,3232286725.0,445.0,46808.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291846.0,445.0,46709.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,57862.0,80.0,TCP,0.004,6.0,545.0,1
3232291853.0,3232261125.0,60689.0,445.0,TCP,0.004,2.0,174.0,0
3232291844.0,3232292095.0,138.0,138.0,UDP,0.0,1.0,262.0,0
3232291856.0,3232261126.0,55372.0,80.0,TCP,0.003,6.0,545.0,1
3232291856.0,3232261126.0,58915.0,80.0,TCP,0.005,5.0,479.0,1
3232291856.0,3232261126.0,56686.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,60274.0,80.0,TCP,0.003,5.0,479.0,1
3232261125.0,3232291856.0,445.0,58844.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,32916.0,80.0,TCP,0.004,5.0,479.0,1
3232291851.0,3232261125.0,34743.0,445.0,TCP,0.0,1.0,66.0,0
3232291856.0,3232261126.0,60145.0,80.0,TCP,0.003,5.0,479.0,1
3232291843.0,3232292095.0,137.0,137.0,UDP,0.0,1.0,92.0,0
3232291854.0,3232261125.0,52321.0,445.0,TCP,0.004,2.0,174.0,0
3232261125.0,3232286724.0,445.0,43183.0,TCP,0.0,1.0,108.0,0
3232291847.0,3232292095.0,137.0,137.0,UDP,0.0,1.0,92.0,0
3232291854.0,3232292095.0,137.0,137.0,UDP,0.0,1.0,92.0,0
3232291856.0,3232261126.0,60567.0,80.0,TCP,0.006,6.0,545.0,1
3232291856.0,3232261126.0,58618.0,80.0,TCP,0.003,5.0,479.0,1
3232291856.0,3232261126.0,56098.0,80.0,TCP,0.005,5.0,479.0,1
3232291856.0,3232261126.0,32769.0,80.0,TCP,0.006,5.0,479.0,1
3232261125.0,3232291845.0,445.0,51146.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,59449.0,80.0,TCP,0.005,6.0,545.0,1
3232291856.0,3232261126.0,32882.0,80.0,TCP,0.004,6.0,545.0,1
3232291856.0,3232261126.0,58086.0,80.0,TCP,0.004,5.0,479.0,1
3232291845.0,3232292095.0,137.0,137.0,UDP,0.0,1.0,92.0,0
3232291856.0,3232261126.0,59160.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,36309.0,80.0,TCP,0.003,5.0,479.0,1
3232291856.0,3232286728.0,51357.0,50000.0,TCP,0.0,1.0,58.0,1
3232291856.0,3232286722.0,51358.0,1104.0,TCP,0.0,1.0,58.0,1
3232291856.0,3232261126.0,60735.0,80.0,TCP,0.0069999999999999,6.0,545.0,1
3232291848.0,3232261125.0,49094.0,445.0,TCP,0.001,2.0,174.0,0
3232291856.0,3232261126.0,58875.0,80.0,TCP,0.003,5.0,479.0,1
3232291856.0,3232261126.0,57306.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,59099.0,80.0,TCP,0.005,6.0,545.0,1
3232291856.0,3232261126.0,58350.0,80.0,TCP,0.006,5.0,479.0,1
3232261125.0,3232291844.0,445.0,43145.0,TCP,0.0,1.0,70.0,0
3232291856.0,3232261125.0,58844.0,445.0,TCP,0.0,1.0,66.0,0
3232261125.0,3232286724.0,445.0,43183.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291845.0,445.0,51146.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,36661.0,80.0,TCP,0.006,6.0,545.0,1
3232291856.0,3232261126.0,33883.0,80.0,TCP,0.003,5.0,479.0,1
3232261125.0,3232291852.0,445.0,49511.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,36206.0,80.0,TCP,0.004,5.0,479.0,1
3232261125.0,3232286724.0,445.0,43183.0,TCP,0.0,1.0,108.0,0
3232291851.0,3232261125.0,34743.0,445.0,TCP,0.002,2.0,174.0,0
3232291856.0,3232261126.0,58376.0,80.0,TCP,0.005,5.0,479.0,1
3232291856.0,3232261126.0,33336.0,80.0,TCP,0.006,5.0,479.0,1
3232261125.0,3232291845.0,445.0,51146.0,TCP,0.0,1.0,70.0,0
3232291849.0,3232261125.0,37884.0,445.0,TCP,0.005,2.0,174.0,0
3232291856.0,3232261126.0,59105.0,80.0,TCP,0.006,5.0,479.0,1
3232261125.0,3232291848.0,445.0,49094.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291851.0,445.0,34743.0,TCP,0.0,1.0,108.0,0
3232291855.0,3232261125.0,48888.0,445.0,TCP,0.001,2.0,174.0,0
3232291849.0,3232261125.0,37884.0,445.0,TCP,0.003,2.0,174.0,0
3232291856.0,3232261126.0,55869.0,80.0,TCP,0.006,5.0,479.0,1
3232291849.0,3232261125.0,37884.0,445.0,TCP,0.005,2.0,174.0,0
3232261125.0,3232291854.0,445.0,52321.0,TCP,0.0,1.0,108.0,0
3232291850.0,3232261125.0,40239.0,445.0,TCP,0.002,2.0,174.0,0
3232291856.0,3232261126.0,55650.0,80.0,TCP,0.004,5.0,479.0,1
3232261125.0,3232291847.0,445.0,37191.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291852.0,445.0,49511.0,TCP,0.0,1.0,108.0,0
3232291848.0,3232261125.0,49094.0,445.0,TCP,0.003,2.0,174.0,0
3232261125.0,3232286725.0,445.0,46808.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232286724.0,445.0,43183.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,59268.0,80.0,TCP,0.003,5.0,479.0,1
3232261125.0,3232291845.0,445.0,51146.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291850.0,445.0,40239.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,37278.0,80.0,TCP,0.006,5.0,479.0,1
3232291856.0,3232261125.0,58844.0,445.0,TCP,0.002,2.0,174.0,0
3232291854.0,3232261125.0,52321.0,445.0,TCP,0.004,2.0,174.0,0
3232291847.0,3232261125.0,37191.0,445.0,TCP,0.005,2.0,174.0,0
3232291854.0,3232261125.0,52321.0,445.0,TCP,0.002,2.0,174.0,0
3232261125.0,3232286724.0,445.0,43183.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291847.0,445.0,37191.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291845.0,445.0,51146.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232286723.0,51357.0,2522.0,TCP,0.0,1.0,58.0,1
3232261125.0,3232291848.0,445.0,49094.0,TCP,0.0,1.0,108.0,0
3232291845.0,3232261125.0,51146.0,445.0,TCP,0.003,2.0,174.0,0
3232291854.0,3232261125.0,52321.0,445.0,TCP,0.003,2.0,174.0,0
3232291856.0,3232261126.0,58946.0,80.0,TCP,0.005,5.0,479.0,1
3232261125.0,3232291849.0,445.0,37884.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232286724.0,445.0,43183.0,TCP,0.0,1.0,108.0,0
3232291855.0,3232261125.0,48888.0,445.0,TCP,0.003,2.0,174.0,0
3232291856.0,3232261126.0,58005.0,80.0,TCP,0.005,6.0,545.0,1
3232291856.0,3232261125.0,58844.0,445.0,TCP,0.001,2.0,174.0,0
3232291856.0,3232289284.0,46755.0,7.0,TCP,0.0,1.0,58.0,1
3232261125.0,3232291852.0,445.0,49511.0,TCP,0.0,1.0,108.0,0
3232291844.0,3232261125.0,43145.0,445.0,TCP,0.002,2.0,174.0,0
3232291856.0,3232261126.0,58082.0,80.0,TCP,0.003,5.0,479.0,1
3232291856.0,3232261126.0,33373.0,80.0,TCP,0.005,5.0,479.0,1
3232291856.0,3232261126.0,35146.0,80.0,TCP,0.004,5.0,479.0,1
3232261125.0,3232291848.0,445.0,49094.0,TCP,0.0,1.0,108.0,0
3232291844.0,3232261125.0,43145.0,445.0,TCP,0.005,2.0,174.0,0
3232291856.0,3232261126.0,34568.0,80.0,TCP,0.003,5.0,479.0,1
3232261125.0,3232291844.0,445.0,43145.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232286728.0,51358.0,5060.0,TCP,0.0,1.0,58.0,1
3232291856.0,3232261126.0,58369.0,80.0,TCP,0.004,6.0,545.0,1
3232291853.0,3232292095.0,137.0,137.0,UDP,0.0,1.0,92.0,0
3232291856.0,3232261126.0,58809.0,80.0,TCP,0.005,5.0,479.0,1
3232261125.0,3232291854.0,445.0,52321.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232286724.0,445.0,43183.0,TCP,0.0,1.0,70.0,0
3232289283.0,3232289535.0,138.0,138.0,UDP,0.0,2.0,517.0,0
3232291855.0,3232261125.0,48888.0,445.0,TCP,0.003,2.0,174.0,0
3232291847.0,3232261125.0,37191.0,445.0,TCP,0.004,2.0,174.0,0
3232291848.0,3232261125.0,49094.0,445.0,TCP,0.005,2.0,174.0,0
3232291845.0,3232261125.0,51146.0,445.0,TCP,0.004,2.0,174.0,0
3232261125.0,3232291856.0,445.0,58844.0,TCP,0.0,1.0,108.0,0
3232291844.0,3232261125.0,43145.0,445.0,TCP,0.004,2.0,174.0,0
3232291856.0,3232261126.0,57764.0,80.0,TCP,0.005,5.0,479.0,1
3232261125.0,3232291856.0,445.0,58844.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291854.0,445.0,52321.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,55775.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,57989.0,80.0,TCP,0.003,5.0,479.0,1
3232291849.0,3232261125.0,37884.0,445.0,TCP,0.002,2.0,174.0,0
3232291856.0,3232261126.0,59051.0,80.0,TCP,0.004,5.0,479.0,1
3232291854.0,3232261125.0,52321.0,445.0,TCP,0.0,1.0,66.0,0
3232291856.0,3232261126.0,35303.0,80.0,TCP,0.004,6.0,545.0,1
3232291848.0,3232261125.0,49094.0,445.0,TCP,0.006,2.0,174.0,0
3232291856.0,3232261126.0,35271.0,80.0,TCP,0.005,5.0,479.0,1
3232291856.0,3232261126.0,35199.0,80.0,TCP,0.003,5.0,479.0,1
3232291856.0,3232261126.0,58626.0,80.0,TCP,0.005,6.0,545.0,1
3232291856.0,3232289284.0,46755.0,8443.0,TCP,0.0,1.0,58.0,1
3232261125.0,3232291854.0,445.0,52321.0,TCP,0.089,2.0,178.0,0
3232291856.0,3232261126.0,32865.0,80.0,TCP,0.002,5.0,479.0,1
3232291855.0,3232261125.0,48888.0,445.0,TCP,0.003,2.0,174.0,0
3232261125.0,3232291850.0,445.0,40239.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,35121.0,80.0,TCP,0.003,5.0,479.0,1
3232261125.0,3232291850.0,445.0,40239.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,33649.0,80.0,TCP,0.004,5.0,479.0,1
3232291852.0,3232261125.0,49511.0,445.0,TCP,0.001,2.0,174.0,0
3232291856.0,3232261126.0,59369.0,80.0,TCP,0.005,5.0,479.0,1
3232291856.0,3232286725.0,51357.0,49.0,TCP,0.0,1.0,58.0,1
3232291846.0,3232292095.0,137.0,137.0,UDP,0.0,1.0,92.0,0
3232261125.0,3232291853.0,445.0,60689.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,59206.0,80.0,TCP,0.004,5.0,479.0,1
3232261125.0,3232291855.0,445.0,48888.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291847.0,445.0,37191.0,TCP,0.0,1.0,70.0,0
3232291856.0,3232261126.0,59443.0,80.0,TCP,0.004,6.0,545.0,1
3232291856.0,3232286724.0,51357.0,3289.0,TCP,0.0,1.0,58.0,1
3232291856.0,3232261125.0,58844.0,445.0,TCP,0.003,2.0,174.0,0
3232291856.0,3232286722.0,51357.0,9500.0,TCP,0.0,1.0,58.0,1
3232291846.0,3232261125.0,46709.0,445.0,TCP,0.003,2.0,174.0,0
3232291845.0,3232292095.0,137.0,137.0,UDP,0.0,1.0,92.0,0
3232291856.0,3232261126.0,59077.0,80.0,TCP,0.003,5.0,479.0,1
3232286724.0,3232261125.0,43183.0,445.0,TCP,0.0,1.0,66.0,0
3232291846.0,3232261125.0,46709.0,445.0,TCP,0.005,2.0,174.0,0
3232291856.0,3232261126.0,57524.0,80.0,TCP,0.004,6.0,545.0,1
3232291848.0,3232261125.0,49094.0,445.0,TCP,0.002,2.0,174.0,0
3232291856.0,3232261126.0,60764.0,80.0,TCP,0.002,5.0,479.0,1
3232291856.0,3232261126.0,58028.0,80.0,TCP,0.003,5.0,479.0,1
3232291856.0,3232261126.0,60114.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,60635.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,60444.0,80.0,TCP,0.004,6.0,545.0,1
3232291856.0,3232286724.0,51357.0,4444.0,TCP,0.0,1.0,58.0,1
3232261125.0,3232286725.0,445.0,46808.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232286725.0,445.0,46808.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291847.0,445.0,37191.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,58510.0,80.0,TCP,0.005,5.0,479.0,1
3232261125.0,3232291852.0,445.0,49511.0,TCP,0.0,1.0,108.0,0
3232261126.0,3232291844.0,80.0,49163.0,TCP,0.0,1.0,74.0,0
3232291856.0,3232261126.0,58444.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,59383.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,55321.0,80.0,TCP,0.002,5.0,479.0,1
3232291849.0,3232261125.0,37884.0,445.0,TCP,0.002,2.0,174.0,0
3232261125.0,3232291855.0,445.0,48888.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291854.0,445.0,52321.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261125.0,58844.0,445.0,TCP,0.004,2.0,174.0,0
3232261125.0,3232291853.0,445.0,60689.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,36012.0,80.0,TCP,0.003,5.0,479.0,1
3232261125.0,3232291850.0,445.0,40239.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,36069.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,59056.0,80.0,TCP,0.003,6.0,545.0,1
3232291856.0,3232286721.0,51357.0,1729.0,TCP,0.0,1.0,58.0,1
3232291848.0,3232261125.0,49094.0,445.0,TCP,0.004,2.0,174.0,0
3232291856.0,3232261126.0,59097.0,80.0,TCP,0.002,5.0,479.0,1
3232291856.0,3232261126.0,60288.0,80.0,TCP,0.002,5.0,479.0,1
