srcport,dstport,proto,td,pkt,byt,label,srcip_1,srcip_2,srcip_3,srcip_4,dstip_1,dstip_2,dstip_3,dstip_4
37201.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
137.0,137.0,UDP,0.0,1.0,92.0,0,192,168,220,3,192,168,220,255
43145.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,4,192,168,100,5
445.0,49511.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,12
445.0,51146.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,5
445.0,40239.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,10
445.0,49511.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,12
445.0,37191.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,7
37139.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
40239.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,10,192,168,100,5
51358.0,1090.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,8
43145.0,445.0,TCP,0.001,2.0,174.0,0,192,168,220,4,192,168,100,5
445.0,34743.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,11
35705.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
138.0,138.0,UDP,0.0,1.0,262.0,0,192,168,220,15,192,168,220,255
445.0,37191.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,7
445.0,49094.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,8
57919.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
51460.0,25.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,5
58564.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,51146.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,5
58310.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
56713.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
51357.0,32778.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,1
60689.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,13,192,168,100,5
58875.0,80.0,TCP,0.005,6.0,545.0,1,192,168,220,16,192,168,100,6
57848.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
58844.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,16,192,168,100,5
587.0,512.0,TCP,0.084,2.0,108.0,0,192,168,100,4,192,168,210,5
46709.0,445.0,TCP,0.0,2.0,174.0,0,192,168,220,6,192,168,100,5
52321.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,14,192,168,100,5
46709.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,6,192,168,100,5
46709.0,445.0,TCP,0.0,1.0,66.0,0,192,168,220,6,192,168,100,5
445.0,46709.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,6
56690.0,80.0,TCP,0.002,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,48888.0,TCP,0.0,1.0,70.0,0,192,168,100,5,192,168,220,15
59307.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
58523.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
58867.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
59100.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
56976.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,37191.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,7
35442.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,40239.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,10
445.0,37884.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,9
445.0,43183.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,4
138.0,138.0,UDP,0.0,1.0,262.0,0,192,168,220,4,192,168,220,255
52321.0,445.0,TCP,0.005,2.0,174.0,0,192,168,220,14,192,168,100,5
58446.0,80.0,TCP,0.006,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,51146.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,5
60689.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,13,192,168,100,5
58844.0,445.0,TCP,0.0,1.0,66.0,0,192,168,220,16,192,168,100,5
138.0,138.0,UDP,0.0,1.0,262.0,0,192,168,220,5,192,168,220,255
445.0,58844.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,16
58968.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
35268.0,80.0,TCP,0.004,6.0,545.0,1,192,168,220,16,192,168,100,6
48888.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,15,192,168,100,5
51357.0,1096.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,9
51146.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,5,192,168,100,5
34743.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,11,192,168,100,5
445.0,51146.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,5
445.0,37191.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,7
445.0,49094.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,8
445.0,51146.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,100,5
51357.0,1461.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,5
59071.0,80.0,TCP,0.006,5.0,479.0,1,192,168,220,16,192,168,100,6
56953.0,80.0,TCP,0.004,6.0,545.0,1,192,168,220,16,192,168,100,6
48888.0,445.0,TCP,0.001,2.0,174.0,0,192,168,220,15,192,168,100,5
55310.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
138.0,138.0,UDP,0.0,1.0,262.0,0,192,168,220,11,192,168,220,255
43183.0,445.0,TCP,0.003,2.0,174.0,0,192,168,200,4,192,168,100,5
59013.0,80.0,TCP,0.003,6.0,545.0,1,192,168,220,16,192,168,100,6
57392.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
57873.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,52321.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,14
34607.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
40239.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,10,192,168,100,5
445.0,43183.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,4
445.0,37884.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,9
33241.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,37884.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,9
35254.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,43183.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,4
445.0,46709.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,6
57570.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,48888.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,15
55458.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,43183.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,4
59964.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
137.0,137.0,UDP,0.0,1.0,92.0,0,192,168,220,12,192,168,220,255
445.0,43145.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,4
445.0,46709.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,6
57792.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
46709.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,6,192,168,100,5
49511.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,12,192,168,100,5
59704.0,80.0,TCP,0.002,6.0,545.0,1,192,168,220,16,192,168,100,6
445.0,51146.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,5
33502.0,80.0,TCP,0.002,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,37191.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,7
445.0,51146.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,5
137.0,137.0,UDP,0.0,1.0,92.0,0,192,168,220,5,192,168,220,255
445.0,52321.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,14
58404.0,80.0,TCP,0.002,6.0,545.0,1,192,168,220,16,192,168,100,6
51357.0,5999.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,8
445.0,46808.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,5
445.0,46709.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,6
57862.0,80.0,TCP,0.004,6.0,545.0,1,192,168,220,16,192,168,100,6
60689.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,13,192,168,100,5
138.0,138.0,UDP,0.0,1.0,262.0,0,192,168,220,4,192,168,220,255
55372.0,80.0,TCP,0.003,6.0,545.0,1,192,168,220,16,192,168,100,6
58915.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
56686.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
60274.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,58844.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,16
32916.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
34743.0,445.0,TCP,0.0,1.0,66.0,0,192,168,220,11,192,168,100,5
60145.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
137.0,137.0,UDP,0.0,1.0,92.0,0,192,168,220,3,192,168,220,255
52321.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,14,192,168,100,5
445.0,43183.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,4
137.0,137.0,UDP,0.0,1.0,92.0,0,192,168,220,7,192,168,220,255
137.0,137.0,UDP,0.0,1.0,92.0,0,192,168,220,14,192,168,220,255
60567.0,80.0,TCP,0.006,6.0,545.0,1,192,168,220,16,192,168,100,6
58618.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
56098.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
32769.0,80.0,TCP,0.006,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,51146.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,5
59449.0,80.0,TCP,0.005,6.0,545.0,1,192,168,220,16,192,168,100,6
32882.0,80.0,TCP,0.004,6.0,545.0,1,192,168,220,16,192,168,100,6
58086.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
137.0,137.0,UDP,0.0,1.0,92.0,0,192,168,220,5,192,168,220,255
59160.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
36309.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
51357.0,50000.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,8
51358.0,1104.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,2
60735.0,80.0,TCP,0.0069999999999999,6.0,545.0,1,192,168,220,16,192,168,100,6
49094.0,445.0,TCP,0.001,2.0,174.0,0,192,168,220,8,192,168,100,5
58875.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
57306.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
59099.0,80.0,TCP,0.005,6.0,545.0,1,192,168,220,16,192,168,100,6
58350.0,80.0,TCP,0.006,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,43145.0,TCP,0.0,1.0,70.0,0,192,168,100,5,192,168,220,4
58844.0,445.0,TCP,0.0,1.0,66.0,0,192,168,220,16,192,168,100,5
445.0,43183.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,4
445.0,51146.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,5
36661.0,80.0,TCP,0.006,6.0,545.0,1,192,168,220,16,192,168,100,6
33883.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,49511.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,12
36206.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,43183.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,4
34743.0,445.0,TCP,0.002,2.0,174.0,0,192,168,220,11,192,168,100,5
58376.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
33336.0,80.0,TCP,0.006,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,51146.0,TCP,0.0,1.0,70.0,0,192,168,100,5,192,168,220,5
37884.0,445.0,TCP,0.005,2.0,174.0,0,192,168,220,9,192,168,100,5
59105.0,80.0,TCP,0.006,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,49094.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,8
445.0,34743.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,11
48888.0,445.0,TCP,0.001,2.0,174.0,0,192,168,220,15,192,168,100,5
37884.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,9,192,168,100,5
55869.0,80.0,TCP,0.006,5.0,479.0,1,192,168,220,16,192,168,100,6
37884.0,445.0,TCP,0.005,2.0,174.0,0,192,168,220,9,192,168,100,5
445.0,52321.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,14
40239.0,445.0,TCP,0.002,2.0,174.0,0,192,168,220,10,192,168,100,5
55650.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,37191.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,7
445.0,49511.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,12
49094.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,8,192,168,100,5
445.0,46808.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,5
445.0,43183.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,4
59268.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,51146.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,5
445.0,40239.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,10
37278.0,80.0,TCP,0.006,5.0,479.0,1,192,168,220,16,192,168,100,6
58844.0,445.0,TCP,0.002,2.0,174.0,0,192,168,220,16,192,168,100,5
52321.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,14,192,168,100,5
37191.0,445.0,TCP,0.005,2.0,174.0,0,192,168,220,7,192,168,100,5
52321.0,445.0,TCP,0.002,2.0,174.0,0,192,168,220,14,192,168,100,5
445.0,43183.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,4
445.0,37191.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,7
445.0,51146.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,5
51357.0,2522.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,3
445.0,49094.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,8
51146.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,5,192,168,100,5
52321.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,14,192,168,100,5
58946.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,37884.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,9
445.0,43183.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,4
48888.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,15,192,168,100,5
58005.0,80.0,TCP,0.005,6.0,545.0,1,192,168,220,16,192,168,100,6
58844.0,445.0,TCP,0.001,2.0,174.0,0,192,168,220,16,192,168,100,5
46755.0,7.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,210,4
445.0,49511.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,12
43145.0,445.0,TCP,0.002,2.0,174.0,0,192,168,220,4,192,168,100,5
58082.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
33373.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
35146.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,49094.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,8
43145.0,445.0,TCP,0.005,2.0,174.0,0,192,168,220,4,192,168,100,5
34568.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,43145.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,4
51358.0,5060.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,8
58369.0,80.0,TCP,0.004,6.0,545.0,1,192,168,220,16,192,168,100,6
137.0,137.0,UDP,0.0,1.0,92.0,0,192,168,220,13,192,168,220,255
58809.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,52321.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,14
445.0,43183.0,TCP,0.0,1.0,70.0,0,192,168,100,5,192,168,200,4
138.0,138.0,UDP,0.0,2.0,517.0,0,192,168,210,3,192,168,210,255
48888.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,15,192,168,100,5
37191.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,7,192,168,100,5
49094.0,445.0,TCP,0.005,2.0,174.0,0,192,168,220,8,192,168,100,5
51146.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,5,192,168,100,5
445.0,58844.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,16
43145.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,4,192,168,100,5
57764.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,58844.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,16
445.0,52321.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,14
55775.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
57989.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
37884.0,445.0,TCP,0.002,2.0,174.0,0,192,168,220,9,192,168,100,5
59051.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
52321.0,445.0,TCP,0.0,1.0,66.0,0,192,168,220,14,192,168,100,5
35303.0,80.0,TCP,0.004,6.0,545.0,1,192,168,220,16,192,168,100,6
49094.0,445.0,TCP,0.006,2.0,174.0,0,192,168,220,8,192,168,100,5
35271.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
35199.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
58626.0,80.0,TCP,0.005,6.0,545.0,1,192,168,220,16,192,168,100,6
46755.0,8443.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,210,4
445.0,52321.0,TCP,0.089,2.0,178.0,0,192,168,100,5,192,168,220,14
32865.0,80.0,TCP,0.002,5.0,479.0,1,192,168,220,16,192,168,100,6
48888.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,15,192,168,100,5
445.0,40239.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,10
35121.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,40239.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,10
33649.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
49511.0,445.0,TCP,0.001,2.0,174.0,0,192,168,220,12,192,168,100,5
59369.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
51357.0,49.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,5
137.0,137.0,UDP,0.0,1.0,92.0,0,192,168,220,6,192,168,220,255
445.0,60689.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,13
59206.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,48888.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,15
445.0,37191.0,TCP,0.0,1.0,70.0,0,192,168,100,5,192,168,220,7
59443.0,80.0,TCP,0.004,6.0,545.0,1,192,168,220,16,192,168,100,6
51357.0,3289.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,4
58844.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,16,192,168,100,5
51357.0,9500.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,2
46709.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,6,192,168,100,5
137.0,137.0,UDP,0.0,1.0,92.0,0,192,168,220,5,192,168,220,255
59077.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
43183.0,445.0,TCP,0.0,1.0,66.0,0,192,168,200,4,192,168,100,5
46709.0,445.0,TCP,0.005,2.0,174.0,0,192,168,220,6,192,168,100,5
57524.0,80.0,TCP,0.004,6.0,545.0,1,192,168,220,16,192,168,100,6
49094.0,445.0,TCP,0.002,2.0,174.0,0,192,168,220,8,192,168,100,5
60764.0,80.0,TCP,0.002,5.0,479.0,1,192,168,220,16,192,168,100,6
58028.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
60114.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
60635.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
60444.0,80.0,TCP,0.004,6.0,545.0,1,192,168,220,16,192,168,100,6
51357.0,4444.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,4
445.0,46808.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,5
445.0,46808.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,5
445.0,37191.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,7
58510.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,49511.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,12
